bank_account_id,bank_name,account_type,currency,current_balance,gl_account,last_updated
BA001,Chase,checking,USD,5200000,1010,2026-04-02
BA002,Chase,savings,USD,2100000,1020,2026-04-02
BA003,Bank of America,checking,USD,3800000,1030,2026-04-02
BA004,Deutsche Bank,checking,EUR,4500000,1040,2026-04-02
BA005,BNP Paribas,checking,EUR,2300000,1050,2026-04-02
BA006,Barclays,checking,GBP,1900000,1060,2026-04-02
BA007,Barclays,money_market,GBP,1200000,1070,2026-04-02
BA008,MUFG,checking,JPY,450000000,1080,2026-04-02
BA009,Mizuho,savings,JPY,200000000,1090,2026-04-02
BA010,UBS,checking,CHF,1800000,1100,2026-04-02
BA011,DBS,checking,SGD,2700000,1110,2026-04-02
BA012,OCBC,money_market,SGD,1200000,1120,2026-04-02
BA013,ANZ,checking,AUD,2400000,1130,2026-04-02
BA014,Westpac,savings,AUD,1100000,1140,2026-04-02
