rate_date,from_currency,to_currency,exchange_rate
2025-03-17,EUR,USD,1.0934
2025-03-17,GBP,USD,1.2701
2025-03-17,EUR,GBP,0.8428
2025-03-18,EUR,USD,1.0973
2025-03-18,GBP,USD,1.2887
2025-03-18,EUR,GBP,0.8584
2025-03-19,EUR,USD,1.0836
2025-03-19,GBP,USD,1.2791
2025-03-19,EUR,GBP,0.8415
2025-03-20,EUR,USD,1.0925
2025-03-20,GBP,USD,1.2618
2025-03-20,EUR,GBP,0.8508
2025-03-21,EUR,USD,1.0804
2025-03-21,GBP,USD,1.2833
2025-03-21,EUR,GBP,0.8416
2025-03-22,EUR,USD,1.1
2025-03-22,GBP,USD,1.2798
2025-03-22,EUR,GBP,0.8501
2025-03-23,EUR,USD,1.0921
2025-03-23,GBP,USD,1.2724
2025-03-23,EUR,GBP,0.8445
2025-03-24,EUR,USD,1.095
2025-03-24,GBP,USD,1.2691
2025-03-24,EUR,GBP,0.846
2025-03-25,EUR,USD,1.0842
2025-03-25,GBP,USD,1.2522
2025-03-25,EUR,GBP,0.8584
2025-03-26,EUR,USD,1.0897
2025-03-26,GBP,USD,1.2589
2025-03-26,EUR,GBP,0.8492
2025-03-27,EUR,USD,1.0854
2025-03-27,GBP,USD,1.2784
2025-03-27,EUR,GBP,0.8522
2025-03-28,EUR,USD,1.0633
2025-03-28,GBP,USD,1.2775
2025-03-28,EUR,GBP,0.8457
2025-03-29,EUR,USD,1.0913
2025-03-29,GBP,USD,1.2575
2025-03-29,EUR,GBP,0.8594
2025-03-30,EUR,USD,1.097
2025-03-30,GBP,USD,1.2812
2025-03-30,EUR,GBP,0.8551
2025-03-31,EUR,USD,1.0621
2025-03-31,GBP,USD,1.2856
2025-03-31,EUR,GBP,0.8557
2025-04-01,EUR,USD,1.0802
2025-04-01,GBP,USD,1.2503
2025-04-01,EUR,GBP,0.8454
2025-04-02,EUR,USD,1.0837
2025-04-02,GBP,USD,1.2593
2025-04-02,EUR,GBP,0.8591
2025-04-03,EUR,USD,1.0996
2025-04-03,GBP,USD,1.2829
2025-04-03,EUR,GBP,0.8428
2025-04-04,EUR,USD,1.0741
2025-04-04,GBP,USD,1.2815
2025-04-04,EUR,GBP,0.8588
2025-04-05,EUR,USD,1.0624
2025-04-05,GBP,USD,1.2829
2025-04-05,EUR,GBP,0.8404
2025-04-06,EUR,USD,1.0937
2025-04-06,GBP,USD,1.2609
2025-04-06,EUR,GBP,0.8531
2025-04-07,EUR,USD,1.0834
2025-04-07,GBP,USD,1.289
2025-04-07,EUR,GBP,0.8528
2025-04-08,EUR,USD,1.0621
2025-04-08,GBP,USD,1.2791
2025-04-08,EUR,GBP,0.8507
2025-04-09,EUR,USD,1.0972
2025-04-09,GBP,USD,1.2813
2025-04-09,EUR,GBP,0.8543
2025-04-10,EUR,USD,1.0931
2025-04-10,GBP,USD,1.2686
2025-04-10,EUR,GBP,0.8438
2025-04-11,EUR,USD,1.0924
2025-04-11,GBP,USD,1.279
2025-04-11,EUR,GBP,0.8507
2025-04-12,EUR,USD,1.0786
2025-04-12,GBP,USD,1.2537
2025-04-12,EUR,GBP,0.8423
2025-04-13,EUR,USD,1.0797
2025-04-13,GBP,USD,1.2806
2025-04-13,EUR,GBP,0.8538
2025-04-14,EUR,USD,1.0663
2025-04-14,GBP,USD,1.2767
2025-04-14,EUR,GBP,0.8519
2025-04-15,EUR,USD,1.082
2025-04-15,GBP,USD,1.2508
2025-04-15,EUR,GBP,0.8567
2025-04-16,EUR,USD,1.0978
2025-04-16,GBP,USD,1.2754
2025-04-16,EUR,GBP,0.8433
2025-04-17,EUR,USD,1.0901
2025-04-17,GBP,USD,1.2691
2025-04-17,EUR,GBP,0.8448
2025-04-18,EUR,USD,1.0754
