company_code,gl_account,gl_account_name,currency,account_type,is_bank_account
1000,1010,Chase Checking USD,USD,ASSET,TRUE
1000,1020,Chase Savings USD,USD,ASSET,TRUE
1000,1030,Bank of America Checking USD,USD,ASSET,TRUE
1000,1040,Deutsche Bank Checking EUR,EUR,ASSET,TRUE
1000,1050,BNP Paribas Checking EUR,EUR,ASSET,TRUE
1000,1060,Barclays Checking GBP,GBP,ASSET,TRUE
1000,1070,Barclays Money Market GBP,GBP,ASSET,TRUE
1000,1080,MUFG Checking JPY,JPY,ASSET,TRUE
1000,1090,Mizuho Savings JPY,JPY,ASSET,TRUE
1000,1100,UBS Checking CHF,CHF,ASSET,TRUE
1000,1110,DBS Checking SGD,SGD,ASSET,TRUE
1000,1120,OCBC Money Market SGD,SGD,ASSET,TRUE
1000,1130,ANZ Checking AUD,AUD,ASSET,TRUE
1000,1140,Westpac Savings AUD,AUD,ASSET,TRUE
1000,1200,Accounts Receivable USD,USD,ASSET,FALSE
1000,1210,Accounts Receivable EUR,EUR,ASSET,FALSE
1000,1220,Accounts Receivable GBP,GBP,ASSET,FALSE
1000,1230,Accounts Receivable JPY,JPY,ASSET,FALSE
1000,1240,Accounts Receivable CHF,CHF,ASSET,FALSE
1000,1250,Accounts Receivable SGD,SGD,ASSET,FALSE
1000,1260,Accounts Receivable AUD,AUD,ASSET,FALSE
1000,2000,Accounts Payable USD,USD,LIABILITY,FALSE
1000,2010,Accounts Payable EUR,EUR,LIABILITY,FALSE
1000,2020,Accounts Payable GBP,GBP,LIABILITY,FALSE
1000,2030,Accounts Payable JPY,JPY,LIABILITY,FALSE
1000,2040,Accounts Payable CHF,CHF,LIABILITY,FALSE
1000,2050,Accounts Payable SGD,SGD,LIABILITY,FALSE
1000,2060,Accounts Payable AUD,AUD,LIABILITY,FALSE
1000,4000,Revenue - Products USD,USD,REVENUE,FALSE
1000,4010,Revenue - Services USD,USD,REVENUE,FALSE
1000,4020,Revenue - Products EUR,EUR,REVENUE,FALSE
1000,4030,Revenue - Services EUR,EUR,REVENUE,FALSE
1000,4040,Revenue - Products GBP,GBP,REVENUE,FALSE
1000,4050,Revenue - Products JPY,JPY,REVENUE,FALSE
1000,4060,Revenue - Services JPY,JPY,REVENUE,FALSE
1000,4070,Revenue - Products CHF,CHF,REVENUE,FALSE
1000,4080,Revenue - Products SGD,SGD,REVENUE,FALSE
1000,4090,Revenue - Services SGD,SGD,REVENUE,FALSE
1000,4100,Revenue - Products AUD,AUD,REVENUE,FALSE
1000,4110,Revenue - Services AUD,AUD,REVENUE,FALSE
1000,5000,Cost of Goods Sold USD,USD,EXPENSE,FALSE
1000,5010,Cost of Goods Sold EUR,EUR,EXPENSE,FALSE
1000,5020,Cost of Goods Sold JPY,JPY,EXPENSE,FALSE
1000,5030,Cost of Goods Sold CHF,CHF,EXPENSE,FALSE
1000,5040,Cost of Goods Sold SGD,SGD,EXPENSE,FALSE
1000,5050,Cost of Goods Sold AUD,AUD,EXPENSE,FALSE
1000,6000,Payroll Expense,USD,EXPENSE,FALSE
1000,6100,Rent Expense,USD,EXPENSE,FALSE
1000,6200,Utilities Expense,USD,EXPENSE,FALSE
1000,6300,IT Services Expense,USD,EXPENSE,FALSE
1000,6400,Professional Services,USD,EXPENSE,FALSE
1000,6500,Intercompany Transfers,USD,EXPENSE,FALSE
