payment_run_id,scheduled_date,total_amount,currency,item_count,status,description
PR-001,2026-04-03,1200000,USD,5,SCHEDULED,Weekly vendor payments - USD batch 1
PR-002,2026-04-05,450000,EUR,3,SCHEDULED,EUR vendor payments
PR-003,2026-04-10,2800000,USD,8,SCHEDULED,Weekly vendor payments - USD batch 2
PR-004,2026-04-13,800000,GBP,4,SCHEDULED,GBP vendor payments
PR-005,2026-04-17,1500000,USD,6,SCHEDULED,Monthly payroll run
PR-006,2026-04-21,650000,EUR,3,SCHEDULED,EUR vendor payments batch 2
PR-007,2026-04-08,350000000,JPY,5,SCHEDULED,JPY vendor payments batch
PR-008,2026-04-15,280000,CHF,3,SCHEDULED,CHF quarterly settlements
PR-009,2026-04-19,185000,SGD,4,SCHEDULED,SGD supplier payments
PR-010,2026-04-23,165000,AUD,3,SCHEDULED,AUD vendor payments batch
